,Feature name,Coefficients,P Values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Max_Difference,Score - Final
26,purpose:oth__med__vacation,0.21282613155217706,7.727158990520728e-12,purpose,16.419931508271144,16.0,-0.41993150827114434,0.0,16.0
27,purpose:major_purch__car__home_impr,0.2662621970731569,1.47334557261804e-17,purpose,20.542623254471817,21.0,0.4573767455281832,0.0,21.0
28,initial_list_status:w,0.053827551083157676,3.738410343669522e-05,initial_list_status,4.152895584754495,4.0,-0.1528955847544946,-0.1528955847544946,4.0
29,term:36,0.07894276908940918,1.6305901709157026e-08,term,6.090581321324138,6.0,-0.09058132132413821,-0.09058132132413821,6.0
30,emp_length:1,0.09915712233221238,0.00013146302200758096,emp_length,7.65015623494067,8.0,0.34984376505932957,0.0,8.0
31,emp_length:2-4,0.12585212896347264,2.5962434271409413e-11,emp_length,9.70972559938535,10.0,0.29027440061464915,0.29027440061464915,10.0
32,emp_length:5-6,0.09109167268812876,2.0817448866072533e-05,emp_length,7.02789180823048,7.0,-0.02789180823048021,0.0,7.0
33,emp_length:7-9,0.06114332124916517,0.0032868548733734487,emp_length,4.717320846727771,5.0,0.2826791532722286,0.0,5.0
34,emp_length:10,0.12504345625546973,1.1791872634319164e-11,emp_length,9.647334997342385,10.0,0.3526650026576146,0.3526650026576146,10.0
35,mths_since_issue_d:<38,1.084203618269016,4.7655054989415925e-181,mths_since_issue_d,83.64832374276594,84.0,0.35167625723406104,0.35167625723406104,84.0
36,mths_since_issue_d:38-39,0.8791913751471618,1.0328060352591777e-149,mths_since_issue_d,67.83124824612943,68.0,0.1687517538705663,0.0,68.0
37,mths_since_issue_d:40-41,0.7782494207116608,5.671837611215529e-124,mths_since_issue_d,60.0433888979666,60.0,-0.04338889796660084,0.0,60.0
38,mths_since_issue_d:42-48,0.5771574564299398,1.0882626063608376e-87,mths_since_issue_d,44.52877019824147,45.0,0.4712298017585326,0.0,45.0
39,mths_since_issue_d:49-52,0.4156841013787917,8.274955291759988e-41,mths_since_issue_d,32.07080081725603,32.0,-0.07080081725602838,0.0,32.0
40,mths_since_issue_d:53-64,0.1699337243887202,5.9538663825282484e-09,mths_since_issue_d,13.11070259586114,13.0,-0.11070259586113984,0.0,13.0
41,mths_since_issue_d:65-84,-0.07179129897115581,0.014068125218602363,mths_since_issue_d,-5.53883211332625,-6.0,-0.4611678866737501,0.0,-6.0
42,int_rate:<9.548,0.8831522403164123,3.581850362373088e-31,int_rate,68.13683635374696,68.0,-0.13683635374695768,-0.13683635374695768,68.0
43,int_rate:9.548-12.025,0.5586641177176782,5.930424682458681e-36,int_rate,43.1019747535282,43.0,-0.10197475352819652,0.0,43.0
44,int_rate:12.025-15.74,0.3061321908385018,7.24276532966796e-17,int_rate,23.61866735717479,24.0,0.3813326428252104,0.0,24.0
45,int_rate:15.74-20.281,0.11316758882397229,9.362874601747213e-05,int_rate,8.73108975807444,9.0,0.26891024192556046,0.0,9.0
46,mths_since_earliest_cr_line:141-164,0.0557711248200387,0.024980200357909925,mths_since_earliest_cr_line,4.302845909971195,4.0,-0.30284590997119487,0.0,4.0
47,mths_since_earliest_cr_line:165-247,0.03716146421164674,0.06425171320564307,mths_since_earliest_cr_line,2.8670760148300363,3.0,0.13292398516996373,0.0,3.0
48,mths_since_earliest_cr_line:248-270,0.07947852802921718,0.002454214162653882,mths_since_earliest_cr_line,6.131916119041093,6.0,-0.1319161190410929,0.0,6.0
49,mths_since_earliest_cr_line:271-352,0.12204130697320906,1.892468232297503e-07,mths_since_earliest_cr_line,9.415713601826674,9.0,-0.41571360182667405,0.0,9.0
50,mths_since_earliest_cr_line:>352,0.12936077596561432,1.0692612127512369e-06,mths_since_earliest_cr_line,9.980424235129446,10.0,0.019575764870554124,0.019575764870554124,10.0
51,inq_last_6mths:0,0.666272004080344,3.5253916294336326e-14,inq_last_6mths,51.40412313605243,51.0,-0.40412313605243355,-0.40412313605243355,51.0
